Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,WLD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4013484,50.20578434,50.81438593,51.40701229,52.05722347,52.66873302,53.41455444,54.06015221,54.75217815,55.32249045,56.06477031,56.63207825,57.24271421,57.84545378,58.34817052,58.83413911,59.33977106,,,,
World,WLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.65799931,74.13646607,78.30640409,77.95435967,79.2255386,79.84173575,80.00705672,80.3147617,81.25726817,82.28593387,82.23623469,82.68045464,83.32549543,82.17255019,84.83252988,85.07169075,85.57632152,86.64411064,87.93618998,88.83104751,89.57029756,,
World,WLD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.59036746,64.73256772,66.5907714,67.03450796,67.15649102,67.62765926,68.92951867,69.86455544,70.24872849,71.15733449,71.59844087,68.72393085,74.24576841,74.26959167,74.66042676,77.04193773,79.5044002,80.82709348,82.04011379,,
World,WLD,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.05973145,94.4018008,94.74790892,94.55849933,94.62591441,94.43530413,94.79294264,95.22591184,94.6309851,94.84921858,95.00304071,94.94289633,95.07956304,95.32868843,95.5322264,95.63001809,95.7620888,95.8367214,95.97660951,96.28504825,96.29259521,96.37121501,96.46164419,96.95739431,97.30079605,97.25825193,,
World,WLD,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6282692,,,62.00258255,,,68.51611328,,,
World,WLD,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.62062073,,,58.46732712,,,64.84675598,,,
World,WLD,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.7482605,,,65.57580566,,,72.26686096,,,
World,WLD,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4533844,,,66.18400574,,,71.9797821,,,
World,WLD,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.34515381,,,54.60171509,,,60.53794479,,,
World,WLD,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.03504181,,,48.47862244,,,55.94488525,,,
World,WLD,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.06116104,,,66.93756104,,,73.85059357,,,
World,WLD,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.07337189,,,73.26258087,,,78.66426849,,,
World,WLD,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.08931351,,,46.95684433,,,56.21119308,,,
World,WLD,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,WLD,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,WLD,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,WLD,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.74708,,89.88673,89.73896,89.76079,90.09036,90.28756,90.44798,90.30999,90.5136,90.48209,90.45493,,
World,WLD,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.20455,89.1279,89.34253,89.50035,89.67569,89.76395,89.5167,89.63329,89.56732,89.45854,,
World,WLD,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.40824,90.24007,90.74577,90.95355,91.19433,91.15254,91.41351,91.40409,91.46353,,
World,WLD,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,,,,,,,,,,,,3.818673604,5.660818679,6.060651303,-1.273954439,0.767347593,4.950618071,3.583419912,4.500989566,1.998157164,0.503550736,1.769206801,0.844776556,3.699403922,5.984897832,4.964759593,3.597315133,2.689401969,2.521930711,3.489728868,3.147985574,1.510875886,2.458439045,1.509680005,3.794695943,3.323777651,2.242596587,3.632228366,1.600859019,2.714768382,3.506532377,1.879719525,3.709017954,1.46700607,5.361823034,3.617187817,4.879359645,4.982812787,-0.270407727,-1.05991149,5.12893909,2.921838188,2.836241908,2.476508852,3.168270405,3.207114609,2.375065596,3.305020853,2.788583264,,
World,WLD,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,,,,,,,,,,,1.67589E+13,1.73989E+13,1.83838E+13,1.9498E+13,1.92496E+13,1.93973E+13,2.03576E+13,2.10871E+13,2.20362E+13,2.24765E+13,2.25897E+13,2.29893E+13,2.31835E+13,2.40412E+13,2.548E+13,2.67451E+13,2.77072E+13,2.84523E+13,2.91699E+13,3.01878E+13,3.11381E+13,3.16086E+13,3.23857E+13,3.28746E+13,3.41221E+13,3.52562E+13,3.60469E+13,3.73562E+13,3.79542E+13,3.89846E+13,4.03516E+13,4.11101E+13,4.26349E+13,4.32603E+13,4.55798E+13,4.72286E+13,4.9533E+13,5.20011E+13,5.18605E+13,5.13109E+13,5.39426E+13,5.55187E+13,5.70933E+13,5.85072E+13,6.03609E+13,6.22967E+13,6.37763E+13,6.58842E+13,6.77214E+13,,
World,WLD,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,,,,,,,,,,,2.55819E+12,2.82079E+12,3.25746E+12,3.96432E+12,4.46147E+12,4.96022E+12,5.37104E+12,6.05024E+12,7.17122E+12,8.14441E+12,9.07113E+12,9.4311E+12,9.40881E+12,9.54545E+12,9.93975E+12,1.04347E+13,1.24038E+13,1.40932E+13,1.58722E+13,1.65211E+13,1.85565E+13,1.9717E+13,2.09992E+13,2.12411E+13,2.28984E+13,2.55058E+13,2.61648E+13,2.61611E+13,2.62841E+13,2.71632E+13,2.79407E+13,2.78128E+13,2.88469E+13,3.23398E+13,3.6414E+13,3.93069E+13,4.268E+13,4.78021E+13,5.15383E+13,4.91088E+13,5.39426E+13,5.9575E+13,6.11764E+13,6.29183E+13,6.50506E+13,6.18812E+13,6.27231E+13,6.65707E+13,7.05317E+13,,
World,WLD,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,1.676379146,3.557358335,4.015124283,-3.158402784,-1.07758319,3.109322133,1.802397527,2.70583056,0.232148145,-1.223596633,0.004789059,-0.938409586,1.88188558,4.165380376,3.160921021,1.795315182,0.890315653,0.738461184,1.721040096,1.388253911,-0.15301089,0.874597055,-0.051441253,2.238719845,1.78656676,0.777999867,2.17398344,0.205833712,1.344789395,2.1549474,0.574668028,2.401548606,0.202967863,4.056679056,2.341069877,3.591005303,3.701333019,-1.491239198,-2.255604265,3.879012557,1.731533797,1.63306699,1.277648839,1.96527245,2.015472698,1.198603421,2.138626478,1.666628902,,
World,WLD,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,4550.448173,4626.730937,4791.320336,4983.697802,4826.292552,4774.285235,4922.733142,5011.460363,5147.061989,5159.010798,5095.885315,5096.12936,5048.306794,5143.310151,5357.548583,5526.896462,5626.121674,5676.211916,5718.128537,5816.539822,5897.288164,5888.264671,5939.76326,5936.707771,6069.614026,6178.051733,6226.116967,6361.471719,6374.565772,6460.290257,6599.506114,6637.431365,6796.832506,6810.627892,7086.913207,7252.822797,7513.272048,7791.363268,7675.175404,7502.053821,7793.05943,7927.998888,8057.468421,8160.414573,8320.788952,8488.492182,8590.235539,8773.948591,8920.177754,,
